"Country","Overall score","Rank","Electoral process","Functioning gov","Political participation","Political culture","Civil liberties"
"Norway",9.87,1,10.00,9.64,10.00,10.00,9.71
"Iceland",9.58,2,10.00,9.29,8.89,10.00,9.71
"Sweden",9.39,3,9.58,9.64,8.33,10.00,9.41
"New Zealand",9.26,4,10.00,9.29,8.89,8.13,10.00
"Finland",9.25,5,10.00,8.93,8.89,8.75,9.71
"Ireland",9.24,6,10.00,7.86,8.33,10.00,10.00
"Denmark",9.22,7=,10.00,9.29,8.33,9.38,9.12
"Canada",9.22,7=,9.58,9.64,7.78,9.38,9.71
"Australia",9.09,9,10.00,8.93,7.78,8.75,10.00
"Switzerland",9.03,10,9.58,9.29,7.78,9.38,9.12
"Netherlands",9.01,11,9.58,9.29,8.33,8.75,9.12
"Luxembourg",8.81,12,10.00,8.93,6.67,8.75,9.71
"Germany",8.68,13,9.58,8.57,8.33,7.50,9.41
"United Kingdom",8.52,14,9.58,7.50,8.89,7.50,9.12
"Uruguay",8.38,15,10.00,8.57,6.11,7.50,9.71
"Austria",8.29,16=,9.58,7.86,8.33,6.88,8.82
"Spain",8.29,16=,9.58,7.14,7.78,8.13,8.82
"Mauritius",8.22,18,9.17,8.21,5.56,8.75,9.41
"Costa Rica",8.13,19,9.58,7.50,6.67,7.50,9.41
"France",8.12,20,9.58,7.86,7.78,6.88,8.53
"Chile",8.08,21,9.58,8.57,5.00,8.13,9.12
"Portugal",8.03,22,9.58,7.86,6.11,7.50,9.12
"South Korea",8.00,23,9.17,7.86,7.22,7.50,8.24
"Japan",7.99,24,8.75,8.21,6.67,7.50,8.82
"United States",7.96,25,9.17,7.14,7.78,7.50,8.24
"Malta",7.95,26,9.17,7.50,6.11,8.13,8.82
"Estonia",7.90,27,9.58,7.86,6.67,6.88,8.53
"Israel",7.86,28,9.17,7.86,8.89,7.50,5.88
"Botswana",7.81,29,9.17,7.14,6.11,7.50,9.12
"Cabo Verde",7.78,30,9.17,7.36,6.67,6.88,8.82
"Taiwan",7.73,31,9.58,8.21,6.11,5.63,9.12
"Czech Republic",7.69,32,9.58,6.79,6.67,6.88,8.53
"Belgium",7.64,33,9.58,8.21,5.00,6.88,8.53
"Cyprus",7.59,34,9.17,6.43,6.67,6.88,8.82
"Italy",7.52,35,9.58,6.07,7.78,6.25,7.94
"Slovenia",7.50,36=,9.58,6.79,6.67,6.25,8.24
"Lithuania",7.50,36=,9.58,6.43,6.11,6.25,9.12
"Latvia",7.49,38,9.58,6.07,6.11,6.88,8.82
"Greece",7.43,39,9.58,4.86,6.67,7.50,8.53
"South Africa",7.24,40,7.42,7.50,8.33,5.00,7.94
"Timor-Leste",7.19,41,9.58,6.29,5.56,6.88,7.65
"Slovakia",7.17,42,9.58,7.14,5.56,5.63,7.94
"Malaysia",7.16,43=,9.17,7.86,6.67,6.25,5.88
"Trinidad and Tobago",7.16,43=,9.58,7.14,6.11,5.63,7.35
"Colombia",7.13,45,9.17,6.79,5.56,5.63,8.53
"Panama",7.05,46,9.58,6.07,6.67,5.00,7.94
"Bulgaria",7.03,47,9.17,6.43,7.22,4.38,7.94
"Argentina",7.02,48,9.17,5.36,6.11,6.25,8.24
"Suriname",6.98,49,9.17,6.43,6.67,5.00,7.65
"Jamaica",6.96,50,8.75,7.14,4.44,6.25,8.24
"India",6.90,51,8.67,6.79,6.67,5.63,6.76
"Brazil",6.86,52,9.58,5.36,6.11,5.00,8.24
"Tunisia",6.72,53,9.17,5.71,7.22,5.63,5.88
"Philippines",6.64,54,9.17,5.36,7.22,4.38,7.06
"Ghana",6.63,55=,8.33,5.71,6.67,6.25,6.18
"Hungary",6.63,55=,8.75,6.07,5.00,6.25,7.06
"Poland",6.62,57,9.17,6.07,6.11,4.38,7.35
"Peru",6.60,58,9.17,5.00,5.56,5.63,7.65
"Croatia",6.57,59,9.17,6.07,5.56,5.00,7.06
"Dominican Republic",6.54,60=,9.17,5.36,6.11,5.00,7.06
"Lesotho",6.54,60=,9.17,4.50,6.67,5.63,6.76
"Mongolia",6.50,62,9.17,5.71,5.56,5.00,7.06
"Romania",6.49,63,9.17,5.71,5.56,4.38,7.65
"Indonesia",6.48,64,7.92,7.14,6.11,5.63,5.59
"Namibia",6.43,65,6.58,5.36,6.67,5.63,7.94
"Serbia",6.41,66,8.25,5.36,6.11,5.00,7.35
"Ecuador",6.33,67,8.75,5.36,6.11,4.38,7.06
"Thailand",6.32,68,7.42,5.36,6.11,6.25,6.47
"Sri Lanka",6.27,69,7.00,6.07,5.56,6.25,6.47
"Paraguay",6.24,70,8.75,5.71,5.00,4.38,7.35
"El Salvador",6.15,71=,9.17,4.64,6.11,3.75,7.06
"Guyana",6.15,71=,6.92,5.36,6.11,5.00,7.35
"Mexico",6.09,73,7.83,6.07,7.22,3.13,6.18
"Papua New Guinea",6.03,74,6.92,6.07,3.89,5.63,7.65
"Hong Kong",6.02,75=,3.58,4.36,6.11,7.50,8.53
"Singapore",6.02,75=,3.92,7.86,5.00,6.25,7.06
"North Macedonia",5.97,77,7.00,5.36,6.67,3.75,7.06
"Ukraine",5.90,78,7.42,2.71,6.67,6.25,6.47
"Albania",5.89,79,7.00,5.36,4.44,5.00,7.65
"Bangladesh",5.88,80,7.83,6.07,6.11,4.38,5.00
"Fiji",5.85,81,6.58,5.36,6.11,5.63,5.59
"Senegal",5.81,82,6.08,6.07,4.44,6.25,6.18
"Moldova",5.75,83,6.58,4.64,6.11,4.38,7.06
"Montenegro",5.65,84,5.67,5.36,6.11,4.38,6.76
"Madagascar",5.64,85,7.92,3.57,6.11,5.63,5.00
"Armenia",5.54,86,7.50,5.36,6.11,3.13,5.59
"Malawi",5.50,87,6.08,4.29,5.00,6.25,5.88
"Liberia",5.45,88,7.42,3.07,5.56,5.63,5.59
"Georgia",5.42,89=,7.83,3.21,6.11,4.38,5.59
"Honduras",5.42,89=,7.83,4.29,4.44,4.38,6.18
"Bhutan",5.30,91,8.75,6.79,2.78,4.38,3.82
"Nepal",5.28,92,4.83,5.36,5.00,5.63,5.59
"Guatemala",5.26,93,6.92,4.64,3.89,4.38,6.47
"Kenya",5.18,94,3.50,5.71,6.67,5.63,4.41
"Tanzania",5.16,95,5.75,5.00,5.00,5.63,4.41
"Morocco",5.10,96,5.25,4.64,5.56,5.63,4.41
"Benin",5.09,97=,4.67,5.71,4.44,5.63,5.00
"Zambia",5.09,97=,4.75,2.93,4.44,6.88,6.47
"Uganda",5.02,99,4.33,3.57,4.44,6.88,5.88
"Mali",4.92,100,6.42,3.07,3.89,5.63,5.59
"Kyrgyz Republic",4.89,101,6.08,2.93,6.67,3.75,5.00
"Bosnia and Hercegovina",4.86,102=,6.17,2.93,5.56,3.75,5.88
"Sierra Leone",4.86,102=,6.58,2.86,3.33,6.25,5.29
"Bolivia",4.84,104,4.75,3.93,5.00,3.75,6.76
"Haiti",4.57,105,4.75,2.07,3.89,6.25,5.88
"Lebanon",4.36,106,3.92,1.50,6.67,5.00,4.71
"Gambia",4.33,107,4.00,4.29,3.33,5.63,4.41
"Pakistan",4.25,108,6.08,5.71,2.22,2.50,4.71
"Nigeria",4.12,109,5.17,3.93,3.33,3.75,4.41
"Turkey",4.09,110,3.08,5.00,5.00,5.00,2.35
"Côte d’Ivoire",4.05,111,4.33,2.86,3.33,5.63,4.12
"Burkina Faso",4.04,112,3.92,2.71,4.44,5.00,4.12
"Algeria",4.01,113,3.08,2.86,5.00,5.00,4.12
"Jordan",3.93,114=,3.58,4.29,3.89,4.38,3.53
"Kuwait",3.93,114=,3.58,4.29,3.89,4.38,3.53
"Mauritania",3.92,116,3.50,3.57,5.00,3.13,4.41
"Palestine",3.89,117,3.33,0.14,7.78,4.38,3.82
"Iraq",3.74,118,5.25,0.00,6.67,5.00,1.76
"Angola",3.72,119,2.25,2.86,5.56,5.00,2.94
"Mozambique",3.65,120,2.58,2.14,5.00,5.00,3.53
"Gabon",3.61,121,2.58,2.21,4.44,5.00,3.82
"Myanmar",3.55,122=,3.08,3.93,2.78,5.63,2.35
"Nicaragua",3.55,122=,1.25,2.86,3.89,5.63,4.12
"Cambodia",3.53,124,0.83,4.64,3.33,5.63,3.24
"Ethiopia",3.44,125,0.42,3.57,5.56,5.00,2.65
"Togo",3.30,126,3.17,1.79,3.33,5.00,3.24
"Niger",3.29,127,2.92,1.14,3.33,4.38,4.71
"Qatar",3.19,128,0.00,4.29,2.22,5.63,3.82
"Rwanda",3.16,129=,1.42,4.29,2.78,4.38,2.94
"Zimbabwe",3.16,129=,0.00,2.50,4.44,5.63,3.24
"Comoros",3.15,131,2.08,2.21,3.89,3.75,3.82
"eSwatini",3.14,132=,0.92,2.86,2.78,5.63,3.53
"Guinea",3.14,132=,3.50,0.43,4.44,4.38,2.94
"Congo Brazzaville",3.11,134=,2.17,2.50,3.89,3.75,3.24
"Russia",3.11,134=,2.17,1.79,5.00,2.50,4.12
"Vietnam",3.08,136,0.00,3.21,3.89,5.63,2.65
"Egypt",3.06,137=,2.67,3.21,3.33,3.75,2.35
"Oman",3.06,137=,0.08,3.93,2.78,4.38,4.12
"Kazakhstan",2.94,139,0.50,2.14,4.44,4.38,3.24
"Venezuela",2.88,140,0.00,1.79,5.00,4.38,3.24
"Afghanistan",2.85,141=,3.42,0.64,3.89,2.50,3.82
"Cameroon",2.85,141=,1.67,2.50,3.33,4.38,2.35
"Cuba",2.84,143,0.00,3.57,3.33,4.38,2.94
"Djibouti",2.77,144,0.42,1.29,3.89,5.63,2.65
"United Arab Emirates",2.76,145,0.00,3.93,2.22,5.00,2.65
"Azerbaijan",2.75,146,0.50,3.21,2.78,3.75,3.53
"Sudan",2.70,147,0.00,1.79,5.56,5.00,1.18
"Guinea-Bissau",2.63,148,4.92,0.00,2.78,3.13,2.35
"Bahrain",2.55,149,0.83,2.71,2.78,4.38,2.06
"Belarus",2.48,150,0.92,2.00,2.78,4.38,2.35
"Iran",2.38,151,0.00,2.86,4.44,3.13,1.47
"Eritrea",2.37,152,0.00,2.14,1.67,6.88,1.18
"China",2.26,153,0.00,4.29,3.33,2.50,1.18
"Burundi",2.15,154,0.00,0.07,3.33,5.00,2.35
"Laos",2.14,155,0.00,2.86,1.67,5.00,1.18
"Libya",2.02,156,0.00,0.00,2.78,4.38,2.94
"Uzbekistan",2.01,157,0.08,1.86,2.22,5.00,0.88
"Yemen",1.95,158,0.00,0.00,3.89,5.00,0.88
"Saudi Arabia",1.93,159=,0.00,2.86,2.22,3.13,1.47
"Tajikistan",1.93,159=,0.08,0.79,1.67,6.25,0.88
"Equatorial Guinea",1.92,161,0.00,0.43,3.33,4.38,1.47
"Turkmenistan",1.72,162,0.00,0.79,2.22,5.00,0.59
"Chad",1.61,163,0.00,0.00,1.67,3.75,2.65
"Syria",1.43,164,0.00,0.00,2.78,4.38,0.00
"Central African Republic",1.32,165,1.25,0.00,1.11,1.88,2.35
"Congo, Dem. Rep.",1.13,166,0.00,0.00,1.67,3.13,0.88
"North Korea",1.08,167,0.00,2.50,1.67,1.25,0.00
